film,year,movies.budget,movies.revenue,movies.popularity,status
The Glenn Miller Story,1954,0,0,6.72,nominated
Babe,1995,30000000,254134910,24.53,nominated
Dead Man Walking,1995,11000000,39363635,8.24,nominated
A Star Is Born,1954,5019770,4335968,9.24,nominated
Secrets & Lies,1996,4500000,13417292,8.21,nominated
Fly Away Home,1996,22000000,25143818,10.26,nominated
Executive Suite,1954,0,0,3.86,nominated
Emma,1996,6000000,22231658,9.53,nominated
The English Patient,1996,27000000,231976425,13.43,winner
Evita,1996,55000000,141047179,7.27,nominated
The Crucible,1996,25000000,7343114,8.5,nominated
As Good as It Gets,1997,50000000,314178011,17.87,nominated
Boogie Nights,1997,15000000,43101594,13.57,nominated
The Ten Commandments,1956,13000000,122700000,50.24,nominated
The King and I,1956,4550000,21300000,8.56,nominated
Pleasantville,1998,60000000,49805462,8.38,nominated
Shakespeare in Love,1998,25000000,289317794,11.28,winner
Elizabeth,1998,30000000,82150642,10.47,nominated
Primary Colors,1998,65000000,52100000,9.06,nominated
Beloved,1998,0,0,7.14,nominated
Witness for the Prosecution,1957,3000000,9000000,12.22,nominated
Sayonara,1957,0,0,6.5,nominated
The Bridge on the River Kwai,1957,3000000,44908000,12.89,winner
The Matrix,1999,63000000,463517383,64.02,winner
The Sixth Sense,1999,40000000,672806292,34.14,nominated
Election,1999,0,0,8.9,nominated
Being John Malkovich,1999,13000000,22863596,12.37,nominated
Anna and the King,1999,75000000,113996937,10.38,nominated
Magnolia,1999,37000000,48451803,16.74,nominated
Titus,1999,0,2,5.88,nominated
The Cider House Rules,1999,24000000,88545092,9.15,winner
An Affair to Remember,1957,2100000,3800000,7.34,nominated
The Talented Mr. Ripley,1999,40000000,128798265,13.04,nominated
Topsy-Turvy,1999,0,0,6.89,nominated
Gigi,1958,3319355,13200000,7.37,winner
Teacher's Pet,1958,0,0,4.59,nominated
Erin Brockovich,2000,52000000,256271286,13.84,nominated
Chocolat,2000,25000000,152500343,14.82,nominated
"Crouching Tiger, Hidden Dragon",2000,17000000,213525736,14.98,nominated
