year,film,Production Company
1965,Doctor Zhivago,Metro-Goldwyn-Mayer
1965,Doctor Zhivago,Carlo Ponti Production
2005,The New World,The Virginia Company LLC
2005,The New World,New Line Cinema
2005,The Constant Gardener,Scion Films
2005,The Constant Gardener,Studio Babelsberg
2005,Charlie and the Chocolate Factory,Village Roadshow Pictures
2005,Charlie and the Chocolate Factory,The Zanuck Company
2005,Memoirs of a Geisha,Columbia Pictures
2005,Memoirs of a Geisha,DreamWorks Pictures
1966,Who's Afraid of Virginia Woolf?,Chenault Productions
1966,Who's Afraid of Virginia Woolf?,Warner Bros. Pictures
2005,Capote,"""Coopers Town Productions"""
2005,Capote,Infinity Media
1966,A Man for All Seasons,Highland Films
1966,A Man for All Seasons,Columbia Pictures
2005,Match Point,DreamWorks Pictures
1966,The Fortune Cookie,Phalanx Productions
1966,The Fortune Cookie,Jalem Productions
2005,Pride & Prejudice,Focus Features
2005,Pride & Prejudice,Universal Pictures
1966,The Sand Pebbles,Robert Wise Productions
1966,The Sand Pebbles,Solar Productions
2005,A History of Violence,New Line Cinema
2005,A History of Violence,BenderSpink
1966,Alfie,Paramount
1966,Alfie,Lewis Gilbert Productions
2006,Pan's Labyrinth,Estudios Picasso
2006,Pan's Labyrinth,Esperanto Filmoj
2006,Little Children,New Line Cinema
2006,Little Children,Standard Film Company
2006,Little Miss Sunshine,Fox Searchlight Pictures
2006,Little Miss Sunshine,Bona Fide Productions
1967,In the Heat of the Night,United Artists
1967,In the Heat of the Night,The Mirisch Company
2006,The Queen,Granada Productions
2006,The Queen,Pathé Renn Productions
1967,The Graduate,Lawrence Turman Films
1967,The Graduate,Inc.
2006,Notes on a Scandal,Fox Searchlight Pictures
2006,Notes on a Scandal,DNA Films
1968,Oliver!,Warwick Film Productions
1968,Oliver!,Romulus Films
1968,Planet of the Apes,APJAC Productions
1968,Planet of the Apes,20th Century Fox
2006,Dreamgirls,Laurence Mark Productions
2006,Dreamgirls,Paramount
2006,Babel,Babel Productions Inc.
2006,Babel,Paramount
1968,Bullitt,Solar Productions
1968,Bullitt,Warner Bros./Seven Arts
1969,Z,Valoria Films
1969,Midnight Cowboy,Florin Productions
1969,Midnight Cowboy,Jerome Hellman Productions
1969,Butch Cassidy and the Sundance Kid,Campanile Productions
1969,Butch Cassidy and the Sundance Kid,20th Century Fox
2007,Juno,Mandate Pictures
2007,Juno,Mr. Mudd Production
1969,"They Shoot Horses, Don't They?",Palomar Pictures International
1969,Alice's Restaurant,Elkins Entertainment
2007,The Savages,Fox Searchlight Pictures
2007,The Savages,Ad Hominem Enterprises
2007,No Country for Old Men,Miramax
2007,No Country for Old Men,Scott Rudin Productions
1969,Easy Rider,Columbia Pictures
1969,Easy Rider,Raybert Productions
2007,Atonement,Universal Pictures
2007,Atonement,Relativity Media
1970,Love Story,Paramount
1970,Love Story,Love Story Company
1970,Patton,20th Century Fox
1970,Tora! Tora! Tora!,20th Century Fox
2007,Lars and the Real Girl,Sidney Kimmel Entertainment
2007,Lars and the Real Girl,Lars Productions
2007,La Vie en Rose,Sofica Valor 7
2007,La Vie en Rose,TPS Star
2007,Elizabeth: The Golden Age,Universal Pictures
2007,Elizabeth: The Golden Age,StudioCanal
2007,Across the Universe,Revolution Studios
2007,Across the Universe,Team Todd
1971,A Clockwork Orange,Warner Bros. Pictures
1971,A Clockwork Orange,Hawk Films
1971,The French Connection,"""DAntoni Productions"""
1971,The French Connection,Schine-Moore Productions
1971,The Last Picture Show,BBS Productions
1971,The Last Picture Show,Columbia Pictures
2008,The Dark Knight,DC Comics
2008,The Dark Knight,Legendary Pictures
1972,The Godfather,Paramount
1972,The Godfather,Alfran Productions
2008,The Curious Case of Benjamin Button,Paramount
2008,The Curious Case of Benjamin Button,Warner Bros. Pictures
1972,The Poseidon Adventure,Kent Productions
1972,The Poseidon Adventure,20th Century Fox
1972,1776,Columbia Pictures
2008,Happy-Go-Lucky,Thin Man Films
2008,Happy-Go-Lucky,Film4 Productions
1972,Deliverance,Warner Bros. Pictures
1972,Deliverance,Elmer Enterprises
1973,The Sting,Universal Pictures
1973,The Sting,Zanuck/Brown Productions
1973,American Graffiti,Universal Pictures
1973,American Graffiti,Lucasfilm Ltd.
1973,A Touch of Class,Brut Productions
1973,A Touch of Class,Joseph E. Levine Productions
2008,The Duchess,BBC Films
2008,The Duchess,Paramount Vantage
1973,Serpico,Paramount
1973,Serpico,De Laurentiis Entertainment Group
2009,In the Loop,Aramid Entertainment Fund
2009,In the Loop,BBC Films
1974,The Conversation,Paramount
1974,The Conversation,The Directors Company
2009,Inglourious Basterds,The Weinstein Company
2009,Inglourious Basterds,Universal Pictures
2009,Avatar,Dune Entertainment
2009,Avatar,Lightstorm Entertainment
1974,Blazing Saddles,Crossbow Productions
